name;description;category;notes;footprint;tag;quantity;storage;mass;ipn;mpn;manufacturing_status;manufacturer;supplier;spn;price;favourite;needs_review;minamount;partUnit;manufacturing_status
BLM18AG121BH1D;SMD EMI Suppression Ferrite Bead 120R, 0603;;FB15, FB16;;Inverte Logica;0;;;;BLM18AG121BH1D;;MURATA;Mouser;;;0;0;;;
TLRZ1JTTD;Metal Plate chip Jumper 0603;;J1;;Inverte Logica;0;;;;TLRZ1JTTD;;KOA SPEER;Mouser;;;0;0;;;
TLRZ1JTTD;Metal Plate chip Jumper 0603;;J2;;Inverte Logica;1;;;;TLRZ1JTTD;;KOA SPEER;Mouser;;;0;0;;;
744045330;EMI Filtering Inductor WE-LQ SMT, 33uH, 320mA,;;L1;;Inverte Logica;1;;;;744045330;;WE;Mouser;;;0;0;;;
APPM00070638302XY0;CMC APPM Series, 3KOhm, 900mA, SMT;;L2;;Inverte Logica;1;;;;APPM00070638302XY0;;Pulse/Chilisin;Mouser;;;0;0;;;
ACT1210-510-2P-TL00;CMC for CanBus, 2k7, 200mA, Autom, SMT;;L3;;Inverte Logica;1;;;;ACT1210-510-2P-TL00;;TDK;Mouser;;;0;0;;;
DFE2MCAH2R2MJ0L;Chip Coil 2.2uH, 1.4A, 2016, AEC-Q200;;L4;;Inverte Logica;1;;;;DFE2MCAH2R2MJ0L;;MURATA;Mouser;;;0;0;;;
11300AA0007.9;Plastic double insertion spacer;;M1, M2;;Inverte Logica;2;;;;11300AA0007.9;;FastPoint;Mouser;;;0;0;;;
CLT-120-02-L-D-BE-A-K-TR;Samtech Tiger-Claw 2x20 Socket, pitch 2mm, Low Profile, Bottom Entry;;P1;;Inverte Logica;1;;;;CLT-120-02-L-D-BE-A-K-TR;;Samtec;Mouser;;;0;0;;;
CLT-110-02-L-D-BE-A-K-TR;Samtech Tiger-Claw 2x10 Socket, pitch 2mm, Low Profile, Bottom Entry;;P2;;Inverte Logica;1;;;;CLT-110-02-L-D-BE-A-K-TR;;Samtec;Mouser;;;0;0;;;
TMM-111-01-F-D-SM-A-P-TR;Samtech TMM Tiger-Claw 2x11 Header, pitch 2mm;;P3;;Inverte Logica;1;;;;TMM-111-01-F-D-SM-A-P-TR;;Samtec;Mouser;;;0;0;;;
